gene	group1	group3	group4	group5	na_count
Fmr1	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpa1	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpa3	RBP	mRNA binding	mRNA transport	NA	1
Igf2bp1	RBP	mRNA binding	mRNA transport	NA	1
Lrpprc	RBP	mRNA binding	mRNA transport	NA	1
Magoh	RBP	mRNA binding	mRNA transport	NA	1
Ncbp2	RBP	mRNA binding	mRNA transport	NA	1
Caprin2	RBP	mRNA binding	mRNA transport	NA	1
Upf1	RBP	mRNA binding	mRNA transport	NA	1
Ewsr1	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpul1	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpu	RBP	mRNA binding	mRNA transport	NA	1
Ybx1	RBP	mRNA binding	mRNA transport	NA	1
Srsf7	RBP	mRNA binding	mRNA transport	NA	1
Rtraf	RBP	mRNA binding	mRNA transport	NA	1
Syncrip	RBP	mRNA binding	mRNA transport	NA	1
Ddx3x	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpl	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpf	RBP	mRNA binding	mRNA transport	NA	1
Hnrnpdl	RBP	mRNA binding	mRNA transport	NA	1
Igf2bp3	RBP	mRNA binding	mRNA transport	NA	1
Pabpn1	RBP	mRNA binding	mRNA transport	NA	1
Khdrbs1	RBP	mRNA binding	mRNA transport	NA	1
Igf2bp2	RBP	mRNA binding	mRNA transport	NA	1
Rnps1	RBP	mRNA binding	mRNA transport	NA	1
Hdlbp	RBP	mRNA binding	mRNA transport	NA	1
Ilf3	RBP	mRNA binding	mRNA transport	NA	1
Srp19	RBP	mRNA binding	mRNA transport	NA	1
Exosc4	RBP	NA	NA	NA	3
Nhp2	RBP	NA	NA	NA	3
Xpo1	RBP	NA	NA	NA	3
Safb	RBP	NA	NA	NA	3
Trove2 (official: Ro60)	RBP	NA	NA	NA	3
U2af2	RBP	NA	NA	NA	3
Hnrnpk	RBP	NA	NA	NA	3
Pcbp4	RBP	NA	NA	NA	3
Ptbp3	RBP	NA	NA	NA	3
Srsf7	RBP	NA	NA	NA	3
Srsf9	RBP	NA	NA	NA	3
Ddx3x	RBP	mRNA binding	Translation	NA	1
Fxr1	RBP	mRNA binding	Translation	NA	1
Caprin1	RBP	mRNA binding	Translation	NA	1
Cirbp	RBP	mRNA binding	Translation	NA	1
Eif4a3	RBP	mRNA binding	Translation	NA	1
Eif4e	RBP	mRNA binding	Translation	NA	1
Fmr1	RBP	mRNA binding	Translation	NA	1
Eprs	RBP	mRNA binding	Translation	NA	1
Gapdh	RBP	mRNA binding	Translation	NA	1
Igf2bp1	RBP	mRNA binding	Translation	NA	1
Ilf3	RBP	mRNA binding	Translation	NA	1
Rps3	RBP	mRNA binding	Translation	NA	1
Syncrip	RBP	mRNA binding	Translation	NA	1
Fxr1	RBP	mRNA binding	Translation	translational regulation	0
Caprin1	RBP	mRNA binding	Translation	translational regulation	0
Cirbp	RBP	mRNA binding	Translation	translational regulation	0
Eif4a3	RBP	mRNA binding	Translation	translational regulation	0
Fmr1	RBP	mRNA binding	Translation	translational regulation	0
Eprs	RBP	mRNA binding	Translation	translational regulation	0
Gapdh	RBP	mRNA binding	Translation	translational regulation	0
Igf2bp1	RBP	mRNA binding	Translation	translational regulation	0
Ilf3	RBP	mRNA binding	Translation	translational regulation	0
Rps3	RBP	mRNA binding	Translation	translational regulation	0
Syncrip	RBP	mRNA binding	Translation	translational regulation	0
Eif4a3	RBP	mRNA binding	mRNA degradation	NA	1
Rbm8a	RBP	mRNA binding	mRNA degradation	NA	1
Rnps1	RBP	mRNA binding	mRNA degradation	NA	1
Magoh	RBP	mRNA binding	mRNA degradation	NA	1
Ncbp2	RBP	mRNA binding	mRNA degradation	NA	1
Lsm5	RBP	mRNA binding	mRNA degradation	NA	1
Csde1	RBP	mRNA binding	mRNA degradation	NA	1
Exosc4	RBP	mRNA binding	mRNA degradation	NA	1
Magohb	RBP	mRNA binding	mRNA degradation	NA	1
Ptbp1	RBP	mRNA binding	mRNA degradation	NA	1
Prkra	RBP	mRNA binding	Stress response	NA	1
Fam120a	RBP	mRNA binding	Stress response	NA	1
Tdrd7	RBP	mRNA binding	mRNA sequestration	NA	1
Ddx1	RBP	mRNA binding	NA	NA	2
Ddx3x	RBP	mRNA binding	NA	NA	2
Khdrbs1	RBP	mRNA binding	NA	NA	2
Hnrnpdl	RBP	mRNA binding	NA	NA	2
Pabpc6	RBP	mRNA binding	NA	NA	2
Syncrip	RBP	mRNA binding	NA	NA	2
Pabpn1	RBP	mRNA binding	NA	NA	2
Dazap1	RBP	mRNA binding	NA	NA	2
Ddx17	RBP	mRNA binding	NA	NA	2
Ddx42	RBP	mRNA binding	NA	NA	2
Ddx5	RBP	mRNA binding	NA	NA	2
Ddx6	RBP	mRNA binding	NA	NA	2
Dhx36	RBP	mRNA binding	NA	NA	2
Ddx21	RBP	mRNA binding	NA	NA	2
Ddx39b	RBP	mRNA binding	NA	NA	2
Ewsr1	RBP	mRNA binding	NA	NA	2
Lsm2	RBP	mRNA binding	NA	NA	2
Lsm3	RBP	mRNA binding	NA	NA	2
Lsm8	RBP	mRNA binding	NA	NA	2
Larp1	RBP	mRNA binding	NA	NA	2
Larp4	RBP	mRNA binding	NA	NA	2
Larp4b	RBP	mRNA binding	NA	NA	2
Nhp2l1	RBP	mRNA binding	NA	NA	2
Nhp2	RBP	mRNA binding	NA	NA	2
Nsun2	RBP	mRNA binding	NA	NA	2
Raly	RBP	mRNA binding	NA	NA	2
Rbm3	RBP	mRNA binding	NA	NA	2
Rbm39	RBP	mRNA binding	NA	NA	2
Rnps1	RBP	mRNA binding	NA	NA	2
Sec23ip	RBP	mRNA binding	NA	NA	2
Ssb	RBP	mRNA binding	NA	NA	2
Son	RBP	mRNA binding	NA	NA	2
Tardbp	RBP	mRNA binding	NA	NA	2
Taf15	RBP	mRNA binding	NA	NA	2
Thumpd1	RBP	mRNA binding	NA	NA	2
U2af1	RBP	mRNA binding	NA	NA	2
U2af2	RBP	mRNA binding	NA	NA	2
Acin1	RBP	mRNA binding	NA	NA	2
Apex1	RBP	mRNA binding	NA	NA	2
Caprin1	RBP	mRNA binding	NA	NA	2
Cdc5l	RBP	mRNA binding	NA	NA	2
Csde1	RBP	mRNA binding	NA	NA	2
Dus3l	RBP	mRNA binding	NA	NA	2
Dkc1	RBP	mRNA binding	NA	NA	2
Eif2s1	RBP	mRNA binding	NA	NA	2
Eif3d	RBP	mRNA binding	NA	NA	2
Eif3g	RBP	mRNA binding	NA	NA	2
Eif4g1	RBP	mRNA binding	NA	NA	2
Eif4g3	RBP	mRNA binding	NA	NA	2
Eif4a1	RBP	mRNA binding	NA	NA	2
Eif4a2	RBP	mRNA binding	NA	NA	2
Eif4b	RBP	mRNA binding	NA	NA	2
Eif4h	RBP	mRNA binding	NA	NA	2
Eif5a	RBP	mRNA binding	NA	NA	2
Exosc6	RBP	mRNA binding	NA	NA	2
Fip1l1	RBP	mRNA binding	NA	NA	2
FAM120A	RBP	mRNA binding	NA	NA	2
Fubp1	RBP	mRNA binding	NA	NA	2
Fubp3	RBP	mRNA binding	NA	NA	2
Fbl	RBP	mRNA binding	NA	NA	2
Fus	RBP	mRNA binding	NA	NA	2
Hnrnpab	RBP	mRNA binding	NA	NA	2
Hnrnpa2b1	RBP	mRNA binding	NA	NA	2
Hnrnpf	RBP	mRNA binding	NA	NA	2
Hnrnph1	RBP	mRNA binding	NA	NA	2
Hnrnph2	RBP	mRNA binding	NA	NA	2
Hnrnph3	RBP	mRNA binding	NA	NA	2
Hnrnpk	RBP	mRNA binding	NA	NA	2
Hnrnpl	RBP	mRNA binding	NA	NA	2
Hnrnpm	RBP	mRNA binding	NA	NA	2
Hnrnpr	RBP	mRNA binding	NA	NA	2
Hnrnpu	RBP	mRNA binding	NA	NA	2
Hnrnpul1	RBP	mRNA binding	NA	NA	2
Hdlbp	RBP	mRNA binding	NA	NA	2
Ilf3	RBP	mRNA binding	NA	NA	2
Lrpprc	RBP	mRNA binding	NA	NA	2
Magohb	RBP	mRNA binding	NA	NA	2
Magoh	RBP	mRNA binding	NA	NA	2
Matr3	RBP	mRNA binding	NA	NA	2
Msi1	RBP	mRNA binding	NA	NA	2
Myef2	RBP	mRNA binding	NA	NA	2
Nono	RBP	mRNA binding	NA	NA	2
Nifk	RBP	mRNA binding	NA	NA	2
Ncl	RBP	mRNA binding	NA	NA	2
Npm1	RBP	mRNA binding	NA	NA	2
Nudt16l1	RBP	mRNA binding	NA	NA	2
Pspc1	RBP	mRNA binding	NA	NA	2
Ppie	RBP	mRNA binding	NA	NA	2
Pcbp2	RBP	mRNA binding	NA	NA	2
Pcbp4	RBP	mRNA binding	NA	NA	2
Puf60	RBP	mRNA binding	NA	NA	2
Ptrf	RBP	mRNA binding	NA	NA	2
Ptbp3	RBP	mRNA binding	NA	NA	2
Prpf31	RBP	mRNA binding	NA	NA	2
Prpf8	RBP	mRNA binding	NA	NA	2
Pa2g4	RBP	mRNA binding	NA	NA	2
Prkra	RBP	mRNA binding	NA	NA	2
Rpl12	RBP	mRNA binding	NA	NA	2
Rpl22	RBP	mRNA binding	NA	NA	2
Rpl8	RBP	mRNA binding	NA	NA	2
Rps11	RBP	mRNA binding	NA	NA	2
Rps4x	RBP	mRNA binding	NA	NA	2
Rps9	RBP	mRNA binding	NA	NA	2
Safb	RBP	mRNA binding	NA	NA	2
Srrm1	RBP	mRNA binding	NA	NA	2
Srsf10	RBP	mRNA binding	NA	NA	2
Srsf11	RBP	mRNA binding	NA	NA	2
Srsf2	RBP	mRNA binding	NA	NA	2
Srsf3	RBP	mRNA binding	NA	NA	2
Srsf5	RBP	mRNA binding	NA	NA	2
Srsf6	RBP	mRNA binding	NA	NA	2
Srsf7	RBP	mRNA binding	NA	NA	2
Srsf9	RBP	mRNA binding	NA	NA	2
Srp14	RBP	mRNA binding	NA	NA	2
Srp19	RBP	mRNA binding	NA	NA	2
Snrpd1	RBP	mRNA binding	NA	NA	2
Snrpd2	RBP	mRNA binding	NA	NA	2
Snrpd3	RBP	mRNA binding	NA	NA	2
Snrpa1	RBP	mRNA binding	NA	NA	2
Sf1	RBP	mRNA binding	NA	NA	2
Sf3b6	RBP	mRNA binding	NA	NA	2
Sf3a1	RBP	mRNA binding	NA	NA	2
Sf3b4	RBP	mRNA binding	NA	NA	2
Sfpq	RBP	mRNA binding	NA	NA	2
Sart3	RBP	mRNA binding	NA	NA	2
Tnrc6b	RBP	mRNA binding	NA	NA	2
Yars	RBP	mRNA binding	NA	NA	2
Zc3h15	RBP	mRNA binding	NA	NA	2
Zc3h18	RBP	mRNA binding	NA	NA	2
Zranb2	RBP	mRNA binding	NA	NA	2
Dis3l2	RBP	mRNA binding	NA	NA	2
Sf3b4	RBP	NA	NA	NA	3
Ddx39b	RBP	mRNA binding	Translation	NA	1
Elavl1	RBP	mRNA binding	Translation	NA	1
Larp1	RBP	mRNA binding	Translation	NA	1
Larp4b	RBP	mRNA binding	Translation	NA	1
Rbm3	RBP	mRNA binding	Translation	NA	1
Eif4g3	RBP	mRNA binding	Translation	NA	1
Hnrnpd	RBP	mRNA binding	Translation	NA	1
Hnrnpl	RBP	mRNA binding	Translation	NA	1
Npm1	RBP	mRNA binding	Translation	NA	1
Ptbp1	RBP	mRNA binding	Translation	NA	1
Rps4x	RBP	mRNA binding	Translation	NA	1
Ddx39b	RBP	mRNA binding	Translation	translational regulation	0
Elavl1	RBP	mRNA binding	Translation	translational regulation	0
Larp1	RBP	mRNA binding	Translation	translational regulation	0
Larp4b	RBP	mRNA binding	Translation	translational regulation	0
Rbm3	RBP	mRNA binding	Translation	translational regulation	0
Eif4g3	RBP	mRNA binding	Translation	translational regulation	0
Hnrnpd	RBP	mRNA binding	Translation	translational regulation	0
Hnrnpl	RBP	mRNA binding	Translation	translational regulation	0
Npm1	RBP	mRNA binding	Translation	translational regulation	0
Rps4x	RBP	mRNA binding	Translation	translational regulation	0
Ddx5	RBP	pre-mRNA binding	NA	NA	2
Ptbp1	RBP	pre-mRNA binding	NA	NA	2
Srsf2	RBP	pre-mRNA binding	NA	NA	2
Srsf6	RBP	pre-mRNA binding	NA	NA	2
Nelfb	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Nudt21	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Hnrnpc	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Fip1l1	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Cstf2t	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Hnrnph2	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Hnrnpk	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Hnrnpa2b1	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Hnrnph1	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Hnrnpab	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Fus	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Hnrnpd	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Ncbp2	RBP	pre-mRNA binding	pre-mRNA Transport and processing	NA	1
Snrpd1	RBP	pre-mRNA binding	splicing	NA	1
Snrpd2	RBP	pre-mRNA binding	splicing	NA	1
Lsm2	RBP	NA	NA	NA	3
Lsm3	RBP	NA	NA	NA	3
Nhp2l1	RBP	NA	NA	NA	3
Son	RBP	NA	NA	NA	3
Prpf31	RBP	NA	NA	NA	3
Snrpd1	RBP	NA	NA	NA	3
Snrpd2	RBP	NA	NA	NA	3
Snrpd3	RBP	NA	NA	NA	3
Snrpe	RBP	NA	NA	NA	3
Sf3b6	RBP	NA	NA	NA	3
Sf3b5	RBP	NA	NA	NA	3
Ssb	RBP	mRNA binding	mRNA sequestration	NA	1
Srsf2	RBP	NA	NA	NA	3
Sf3a1	RBP	NA	NA	NA	3
Aco1	RBP	mRNA binding	Stress response	NA	1
Khdrbs1	RBP	NA	NA	NA	3
Srsf3	RBP	NA	NA	NA	3
Khsrp	RBP	mRNA binding	mRNA stability	NA	1
Apex1	RBP	mRNA binding	mRNA stability	NA	1
Fmr1	RBP	mRNA binding	mRNA stability	NA	1
Hnrnpf	RBP	NA	NA	NA	3
Ddx6	RBP	mRNA binding	Translation	NA	1
Rbm8a	RBP	mRNA binding	Translation	NA	1
Aco1	RBP	mRNA binding	Translation	NA	1
Magoh	RBP	mRNA binding	Translation	NA	1
Ncbp2	RBP	mRNA binding	Translation	NA	1
Pa2g4	RBP	mRNA binding	Translation	NA	1
Ddx6	RBP	mRNA binding	Translation	translational regulation	0
Rbm8a	RBP	mRNA binding	Translation	translational regulation	0
Aco1	RBP	mRNA binding	Translation	translational regulation	0
Magoh	RBP	mRNA binding	Translation	translational regulation	0
Ncbp2	RBP	mRNA binding	Translation	translational regulation	0
Pa2g4	RBP	mRNA binding	Translation	translational regulation	0
Ncbp2	RBP	mRNA binding	Translation	translational initiation	0
Eif4a1	RBP	mRNA binding	Translation	translational regulation	0
Eif4a2	RBP	mRNA binding	Translation	translational regulation	0
Xpo1	RBP	mRNA binding	Stress response	NA	1
Hnrnpd	RBP	mRNA binding	Stress response	NA	1
Srp14	RBP	mRNA binding	Stress response	NA	1
Srp19	RBP	mRNA binding	Stress response	NA	1
Eif2s1	RBP	mRNA binding	Translation	ribosome	0
Ssb	RBP	NA	NA	NA	3
Fbl	RBP	NA	NA	NA	3
Hnrnpul1	RBP	NA	NA	NA	3
Rbmxl1	RBP	NA	NA	NA	3
Tardbp	RBP	NA	NA	NA	3
Cdc5l	RBP	NA	NA	NA	3
Syncrip	RBP	NA	NA	NA	3
Zranb2	RBP	NA	NA	NA	3
Eprs	RBP	NA	NA	NA	3
Ddx21	RBP	ncRNA binding	rRNA binding	NA	1
Npm1	RBP	ncRNA binding	rRNA binding	NA	1
Rps11	RBP	ncRNA binding	rRNA binding	NA	1
Rps4x	RBP	ncRNA binding	rRNA binding	NA	1
Rps9	RBP	ncRNA binding	rRNA binding	NA	1
Srp14	RBP	ncRNA binding	rRNA binding	NA	1
Fbll1	RBP	ncRNA binding	rRNA binding	NA	1
Tst	RBP	ncRNA binding	rRNA binding	NA	1
Exosc4	RBP	ncRNA binding	rRNA binding	NA	1
Cavin1	RBP	ncRNA binding	rRNA binding	NA	1
Nifk	RBP	ncRNA binding	rRNA binding	NA	1
Pa2g4	RBP	ncRNA binding	rRNA binding	NA	1
Nhp2	RBP	ncRNA binding	rRNA binding	NA	1
Fbl	RBP	ncRNA binding	rRNA binding	NA	1
Dkc1	RBP	ncRNA binding	rRNA binding	NA	1
Dis3l2	RBP	ncRNA binding	rRNA binding	NA	1
Eif4a3	RBP	ncRNA binding	rRNA binding	NA	1
Exosc3	RBP	ncRNA binding	rRNA binding	NA	1
Rpl5	RBP	ncRNA binding	rRNA binding	NA	1
Rpl7	RBP	ncRNA binding	rRNA binding	NA	1
Ptrf	RBP	ncRNA binding	rRNA binding	NA	1
Rpl8	RBP	ncRNA binding	rRNA binding	NA	1
Npm1	RBP	mRNA binding	Translation	ribosome	0
Ddx21	RBP	ncRNA binding	NA	NA	2
Nhp2l1	RBP	ncRNA binding	NA	NA	2
Nudt16l1	RBP	ncRNA binding	NA	NA	2
Xpo1	RBP	ncRNA binding	snRNA binding	NA	1
Dkc1	RBP	ncRNA binding	snRNA binding	NA	1
U2af1	RBP	NA	NA	NA	3
Prpf8	RBP	NA	NA	NA	3
Snrpa1	RBP	NA	NA	NA	3
Snrpb2	RBP	NA	NA	NA	3
Sf1	RBP	NA	NA	NA	3
Sart3	RBP	NA	NA	NA	3
Alyref	RBP	pre-mRNA binding	splicing	NA	1
Ddx42	RBP	pre-mRNA binding	splicing	NA	1
Acin1	RBP	pre-mRNA binding	splicing	NA	1
Hnrnpu	RBP	pre-mRNA binding	splicing	NA	1
Pcbp1	RBP	pre-mRNA binding	splicing	NA	1
Lsm5	RBP	NA	NA	NA	3
Lsm8	RBP	NA	NA	NA	3
Hnrnpu	RBP	NA	NA	NA	3
Ppie	RBP	NA	NA	NA	3
Raly	RBP	NA	NA	NA	3
Snu13	RBP	NA	NA	NA	3
Qk	RBP	NA	NA	NA	3
Sfpq	RBP	NA	NA	NA	3
Rbm39	RBP	NA	NA	NA	3
G3bp1	RBP	mRNA binding	Stress response	NA	1
Ybx3	RBP	mRNA binding	Stress response	NA	1
Tdrd7	RBP	mRNA binding	Stress response	NA	1
Tial1	RBP	mRNA binding	Stress response	NA	1
Carhsp1	RBP	mRNA binding	Stress response	NA	1
Ybx1	RBP	mRNA binding	Stress response	NA	1
Caprin1	RBP	mRNA binding	Stress response	NA	1
Safb	RBP	mRNA binding	Stress response	NA	1
Dhx9	RBP	mRNA binding	Stress response	NA	1
Myef2	RBP	mRNA binding	Stress response	NA	1
Nhp2	RBP	ncRNA binding	NA	NA	2
Dkc1	RBP	ncRNA binding	NA	NA	2
Hnrnpc	RBP	ncRNA binding	NA	NA	2
Hnrnpu	RBP	ncRNA binding	NA	NA	2
Snrpd3	RBP	ncRNA binding	NA	NA	2
Nhp2l1	RBP	mRNA binding	Translation	NA	1
Nhp2	RBP	mRNA binding	Translation	NA	1
Eif2s1	RBP	mRNA binding	Translation	NA	1
Rpl12	RBP	mRNA binding	Translation	NA	1
Rpl5	RBP	mRNA binding	Translation	NA	1
Rps11	RBP	mRNA binding	Translation	NA	1
Rps9	RBP	mRNA binding	Translation	NA	1
Eif4a2	RBP	mRNA binding	Translation	NA	1
Celf1	RBP	mRNA binding	Translation	NA	1
Pdcd4	RBP	mRNA binding	Translation	NA	1
Eif4a1	RBP	mRNA binding	Translation	NA	1
Eif3b	RBP	mRNA binding	Translation	NA	1
Eif3g	RBP	mRNA binding	Translation	NA	1
Eif3a	RBP	mRNA binding	Translation	NA	1
Eif3d	RBP	mRNA binding	Translation	NA	1
Eif4g1	RBP	mRNA binding	Translation	NA	1
G3bp2	RBP	mRNA binding	Translation	NA	1
Eef1g	RBP	mRNA binding	Translation	NA	1
Nelfb	RBP	mRNA binding	Translation	NA	1
Larp1	RBP	mRNA binding	Translation	translational initiation	0
Tdrd7	RBP	mRNA binding	Translation	translational regulation	0
Csde1	RBP	mRNA binding	Translation	translational regulation	0
Celf1	RBP	mRNA binding	Translation	translational regulation	0
Pdcd4	RBP	mRNA binding	Translation	translational regulation	0
Eif5a	RBP	mRNA binding	Translation	translational regulation	0
Carhsp1	RBP	mRNA binding	Translation	translational regulation	0
Pcbp1	RBP	mRNA binding	Translation	translational regulation	0
Tardbp	RBP	mRNA binding	Translation	translational regulation	0
Ybx1	RBP	mRNA binding	Translation	translational regulation	0
Igf2bp3	RBP	mRNA binding	Translation	translational regulation	0
Aars	RBP	mRNA binding	Translation	translational regulation	0
Msi1	RBP	mRNA binding	Translation	translational regulation	0
Igf2bp2	RBP	mRNA binding	Translation	translational regulation	0
Hdlbp	RBP	mRNA binding	Translation	translational regulation	0
G3bp2	RBP	mRNA binding	Translation	translational regulation	0
Nsun2	RBP	ncRNA binding	tRNA binding	NA	1
Thumpd3	RBP	ncRNA binding	tRNA binding	NA	1
Aimp1	RBP	ncRNA binding	tRNA binding	NA	1
Xpo5	RBP	ncRNA binding	tRNA binding	NA	1
Xpot	RBP	ncRNA binding	tRNA binding	NA	1
Ssb	RBP	ncRNA binding	tRNA binding	NA	1
Ddx1	RBP	ncRNA binding	tRNA binding	NA	1
Dus3l	RBP	ncRNA binding	tRNA binding	NA	1
Fbl	RBP	ncRNA binding	tRNA binding	NA	1
Fbll1	RBP	ncRNA binding	tRNA binding	NA	1
Eif5a	RBP	pre-mRNA binding	splicing	NA	1
